title,category,brand_name,short_description,product_url,image_url,social_proof,rating_score,review_count,price,badges
N/A,Oje,Guerlain,Noire Nail Polish No: 007 Black Perfecto 3346470421653,https://www.trendyol.com/guerlain/oje-la-petite-robe-noire-nail-polish-no-007-black-perfecto-3346470421653-p-1815724?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/5ddc5d3f-1814-38e5-874a-f5d9f8b3ff6b/1_org.jpg,,N/A,N/A,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
Nail Polish - La Petite Robe,Oje,Guerlain,Noire Nail Polish No: 001 3346470421745,https://www.trendyol.com/guerlain/oje-la-petite-robe-noire-nail-polish-no-001-3346470421745-p-1816033?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/8344a3e3-84f9-3a9c-ad93-7d301ac518a2/1_org.jpg,,4.0,1,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Oje,Guerlain,Nail Color 004 Jagua Ink Nail Polish,https://www.trendyol.com/guerlain/la-petite-robe-noire-nail-colour-004-jagua-ink-oje-p-52831383?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/ba0e6653-0749-332c-986c-d610454e8cf7/1_org.jpg,,N/A,N/A,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Oje,Guerlain,Nail Color 024 Black Cherry Nail Polish,https://www.trendyol.com/guerlain/le-petite-robe-noire-nail-colour-024-black-cherry-oje-p-41715698?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1394/product/media/images/prod/QC/20240701/15/68fef56a-45a3-3afc-b975-ed45c06d5875/1_org.jpg,,N/A,N/A,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
Nail Polish - Le Petite Robe,Oje,Guerlain,Noir 044 East Poppy 3346470425842,https://www.trendyol.com/guerlain/oje-le-petite-robe-noir-044-east-poppy-3346470425842-p-31923890?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/78122556-d579-3cf8-b403-156f9b4f3758/1_org.jpg,,5.0,1,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Oje,Guerlain,No: 700 Blue Ocean 10 ml 3346470419605,https://www.trendyol.com/guerlain/oje-colour-lacquer-no-700-blue-ocean-10-ml-3346470419605-p-1816093?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/9820b7f4-102e-3445-8f48-cf5e64e494de/1_org.jpg,,N/A,N/A,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Oje,Guerlain,Noire Nail Enamel Top Coat 3346470422124,https://www.trendyol.com/guerlain/oje-la-petite-robe-noire-nail-enamel-top-coat-3346470422124-p-1816036?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/4b04661b-a6b9-3bb4-b26a-18c2cecef870/1_org.jpg,,N/A,N/A,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Oje,Guerlain,Nail Polish No 061 Pink Ballerinas Nail Polish,https://www.trendyol.com/guerlain/la-petite-robe-noire-nail-polish-no-061-pink-ballerinas-oje-p-1815727?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1390/product/media/images/prod/QC/20240630/05/d1ec36a8-7bea-3722-9c56-b8269aa92e3a/1_org.jpg,,N/A,N/A,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
Nail Polish - La Petite Robe,Oje,Guerlain,Noire Nail Polish No: 002 Pink Tie 3346470421691,https://www.trendyol.com/guerlain/oje-la-petite-robe-noire-nail-polish-no-002-pink-tie-3346470421691-p-1815726?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/9511fc84-2dd0-3a17-9a01-c28d2bd8e245/1_org.jpg,,5.0,1,"1,396.50TL","['Buy More Pay Less', 'Buy and Win Together']"
High Impact Easy,Eyeliner,Clinique,Liquid Espresso Eyeliner 192333129296,https://www.trendyol.com/clinique/high-impact-easy-liquid-espresso-eyeliner-192333129296-p-242034696?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1329/product/media/images/prod/QC/20240524/14/153aa5e6-3041-3835-a518-875e268d24dd/1_org.jpg,806 peopleliked it!806 peopleliked it!,4.8,20,"1,099.40TL",['Buy and Win Together']
Black Eyeliner -,Eyeliner,Guerlain,Felt Eyeliner 01 3346470422230,https://www.trendyol.com/guerlain/siyah-eyeliner-felt-eyeliner-01-3346470422230-p-1816037?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/2016e9ef-366c-385f-9b0a-db0f0cd9b2cb/1_org.jpg,122 peopleliked it!122 peopleliked it!,2.0,2,"2,000.56TL",['Buy and Win Together']
Eyeliner Fluid Brown,Eyeliner,Guerlain,Cender 05 5ml 3346470412095,https://www.trendyol.com/guerlain/eyeliner-fluid-brun-cendre-05-5-ml-3346470412095-p-1815492?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1389/product/media/images/prod/QC/20240630/05/7dae908c-1b7d-330e-96f0-1afd781e19b4/1_org.jpg,,1.0,1,"2,194.50TL",['Buy and Win Together']
Graphic Ink Liner 01,Eyeliner,Clarins,Intense Black Liquid Eyeliner,https://www.trendyol.com/clarins/graphik-ink-liner-01-intense-black-likit-eyeliner-p-53755193?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1308/product/media/images/prod/QC/20240513/10/d1f2b35e-c1c9-3fbf-8165-366deda7d4a5/1_org.jpg,159 peopleliked it!159 peopleliked it!,4.0,5,"1,102.75TL","['Buy More Pay Less', 'Buy and Win Together']"
N/A,Eyeliner,Guerlain,Liner Matte Black Eyeliner,https://www.trendyol.com/guerlain/mad-eyes-felt-price-liner-matte-black-eyeliner-p-123835507?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty142/product/media/images/20210709/16/108688141/199990158/1/1_org.jpg,,N/A,N/A,"1,670TL",['Buy and Win Together']
